,Tên Việt Nam,Tên Khoa học,Bộ,Lớp,Họ,Ngành,Dạng sống,Sinh cảnh,Bộ phận dùng,Công dụng,
16,Bồ Cu vẽ,Breynia fruticosa (L) Hook. f.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven rừng, đồi núi","Rễ,  lá","Rắn căn, mụn nhọt viêm da, ghẻ, dạ dày, sinh đẻ",
17,Bọ mắm,Pauzolxia zeylanica (L.) Benn.,Gai Urticales ,Ngọc Lan,Urticaceae Gai ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, ruộng, ven đường",Cả cây,"Chữa ho, các bệnh về phổi, lợi tiểu, chữa mụn nhọt",
18,Bọ Mảy,Clerodendrum cyrtophyllum Turcz,Hoa môi Lamiales,Ngọc Lan,Verbenaceae Cỏ roi ngựa  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven rừng, đồi núi","Rễ,  lá","Chữa viêm họng, chảy máu chân răng, chữa lỵ và viêm đại tràng mãn tính",
19,Bời lời nhớt,Litsea glutinosa (Lour.) C.B. Rob. ,Long não Laurales,Ngọc lan,Lauraceae  Long não  ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven rừng, đồi núi","Rễ, vỏ lá ","Trị ỉa chảy, chấn thương bầm giập",
20,Bòng bong,Lygodium flexuosum Sw.,Bòng bong Lygodiales,Dương xỉ,Lygodiaceae Bòng bong ,Dương xỉ Polypodiophyta,Dây leo,"Trảng cỏ, vườn nhà, rừng trồng","thân , lá","Chữa đái rắt, đái buốt, làm thuốc lợi sữa, trị chấn thương, ứ huyết, sưng đau.",
21,Bông ổi,Lantana camara L.,Hoa môi Lamiales,Ngọc Lan,Verbenaceae Cỏ roi ngựa  ,Ngọc Lan Magnoliophyta,Thân bụi,"Trảng cỏ, ven đường ,ruộng","Lá, hoa và rễ ","Rắn cắn, cảm , cầm máu",
22,Bông trang đỏ,Ixora cocconea L.,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng, vườn nhà, ruộng","Lá, rễ.","Chữa mụn nhọt, mẩn ngứa, ỉa lỏng lâu ngày.",
23,Bông trang trắng,Ixora nigricans R.Br ex Wight et Arn,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng, vườn nhà","Lá, hoa, cành, rễ ","chữa thận suy, lưng xương đau mỏi, điều hoà kinh nguyệt,lỵ, giải nóng ho,phụ nữ sinh đẻ",
24,Bông Trang vàng,Ixora flavescens Pierre,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân bụi,vườn nhà,Cành lá , Trị các cơn đau bụng. ,
25,Bọt ếch,Muehlenbeckia platyclada  (F. Muell. ex Hook.) Meisn.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân bụi,"ven rừng, đồi núi",lá rễ, lá và rễ cây được dùng làm thuốc sắc uống trị đau ruột.,
26,Bùm bụp,Mallotus apelta (Lour.) Muell. -Arg. ,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân gỗ,"ven rừng, đồi núi","Rễ, vỏ cây và lá ","Viêm gan, huyết trắng, phù thũng khi có thai, viêm ruột ỉa chảy. ",
27,Bưởi,Citrus grandis (L.) Osbeck,Cam Rutales,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,"Vỏ quả, lá","trị đờm, đau dạ dày, đầy bụng, hen, đau thoát vị, chữa sốt, ho, nhức đầu, kém ăn, chữa viêm vú, viêm amygdal.",
28,Bưởi  bung,Glycosmis pentaphylla Corr.,Cam Rutales,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,"Vườn nhà, ven đường","Rễ, lá ","Giúp tiêu hóa, phụ nữ sau khi đẻ ăn ngon, chữa mụn nhọt, lở loét.",
29,Bướm Bạc,Mussaenda pubescens Ait.f.,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng, đồi núi","Hoa, rễ, cành lá.","Lợi tiểu, chữa ho, hen, gẫy xương, chữa tê thấp.",
30,Cà độc dược,Datura metel L.,Cà Solanales,Ngọc lan,Solanaceae Cà  ,Ngọc Lan Magnoliophyta,Thân bụi,Trảng cỏ,"Lá, hoa ","Chữa hen suyễn, viêm phế quản, chữa viêm loét dạ dày",
31,Cà gai leo,Solanum hainanense Hance. ,Cà Solanales,Ngọc lan,Solanaceae Cà  ,Ngọc Lan Magnoliophyta,Dây leo,Trảng cỏ,Rễ và cành lá ,"tán phong thấp, tiêu độc, tiêu đờm, trừ ho, giảm đau, cầm máu. ",
32,Cà dại hoa trắng,Solanum torvum Swartz.,Cà Solanales,Ngọc Lan,Solanaceae Cà  ,Ngọc Lan Magnoliophyta,Thân bụi,"vườn nhà, trảng cỏ",Rễ,"Chân tay nứt nẻ, nước ăn chân, nơi sâu bọ đốt",
33,Cam,Citrus sinensis (L.) Osheck,Cam Rutales,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,"Quả,dịch quả và vỏ quả; hoa ","Chữa mụn nhọt, mẩn ngứa, ỉa lỏng lâu ngày.",
34,Cam thảo đất,Scoparia dulcis L.,Hoa mõm sói Scrophulariales,Ngọc Lan,Scrophulariaceae Hoa mõm sói,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng,vườn nhà",Cả cây,"chữa mụn nhọt, cảm sốt, sởi, ho khan điều trị bệnh tiểu đường, thiếu máu",
35,Cam thảo dây,Abrus precatorius L. ,Đậu Fabales,Ngọc Lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Dây leo,"Vườn nhà, ven đường","Thân, lá","chữa ho, giải cảm, giải độc, chữa vàng da do viêm gan siêu vi trùng, chữa viêm phế quản mãn ",
36,Càng cua,Peperomia pellucida L.,hồ tiêu Piperales,Ngọc Lan,Piperaceae Hồ tiêu ,Ngọc Lan Magnoliophyta,Thân thảo,"Vườn nhà,",Cả cây,"Chữa viêm họng,đái tháo đường táo bón, thiếu máu, tiểu gắt, cao huyết áp",
37,Cau,Areca catechu L.,Cau Arecales,Hành,Arecaceae Cau ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,"Hạt, vỏ quả Cau","Chữa sán, giúp tiêu hoá, lợi tiểu",
38,Cầu đằng ,Uncaria rhynchophylla (Miq.) Jacks.,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Dây leo,Ven rừng ,Thân,"chữa đau đầu, trẻ em kinh giật, nổi ban lên sởi chữa huyết áp ",
39,Cây dây giun,Quisqualis indica L.,Sim Myrtales,Ngọc lan,Combretaceae Bàng ,Ngọc Lan Magnoliophyta,Dây leo,Vườn nhà,Hạt,"Thuốc chữa giun đũa, giun kim, chữa suy dinh dưỡng, da vàng, biếng ăn",
40,Mắc Khén,Zanthoxylum rhetsa (Roxb.) DC.,Cam Rutales ,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,"Ven rừng, trảng cỏ",Hạt,,
41,Rum thơm,Poikilospermum suaveolens (Blume) Merr. ,Gai Urticales,Ngọc Lan,Urticaceae Gai ,Ngọc Lan Magnoliophyta,Dây leo,Ven rừng,rễ,"ghẻ, đau mắt",
42,Tầm gửi rừng,"Helixanthera parasitica L., ",Đàn hương Santalales,Ngọc lan,Loranthaceae Tầm gửi  ,Ngọc Lan Magnoliophyta,Kí sinh,Rừng,Lá,Lá được dùng sắc uống làm dịu đau dạ dày. ,
43,Chạc Chìu,Tetracera scandens (L.) Merr.,Sổ Dilleniales,Ngọc lan,Dilleniaceae Sổ ,Ngọc Lan Magnoliophyta,Dây leo,rừng,"rễ, dây ","Chữa phù thận, thông tiểu, sốt, đau lưng",
44,Chẩn,Microdesmis caseariaefolia Planch. ex Hook.,Sơ ri Malpighiales,Ngọc Lan,Padaceae Chanh ốc ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,"Rễ, lá, vỏ","Vỏ dùng trị sốt rét rừng, gỗ cũng được dùng trị sốt rét",
45,Chân Chim,Schefflera octophylla (Lour.) Harms,Hoa tán Apiales,Ngọc Lan,Araliaceae Nhân sâm ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Vỏ thân,"Làm thuốc bổ, chữa phong thấp, tê bại ",
46,Chân chim bảy lá,Schefflera heptaphylla (L.) Frodin,Hoa tán Apiales,Ngọc Lan,Araliaceae Nhân sâm ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Thân,"Làm thuốc bổ, giải nhiệt, kháng viêm, tiêu sưng, hạ đường huyết",
47,Chanh,Citrus aurantifolia (Christm et Panzer) Swingle ,Cam Rutales,Ngọc Lan,Rataceae Cam  ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,Lá và quả ,"làm thuốc giải nhiệt, lợi tiêu hoá, trị ho, cảm cúm, hen phế quản, ho gà và trị bệnh ngoài da, rắn cắn. ",
48,Chè,Camellia sinensis O. Ktze ,Chè  Theales,Ngọc Lan,Theaceae Chè ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,"Cành, lá.","Tăng cường điều hoà nhịp tim, lợi tiểu và kích thích ăn ngon, chữa lỵ.",
49,Chè Camenia,Aidia cochinchinensis (Lour.) Merr.,Long đởm Gentianales,Ngọc lan,Rubiaceae Cà phê  ,Ngọc Lan Magnoliophyta,Thân bụi,rừng,"vỏ cây, hoa, gỗ","Vỏ dùng trị sốt rét rừng, gỗ cũng được dùng trị sốt rét",
50,Chè đắng,Ilex kudingcha C. J. Tseng.,Dây gối  Celastrales,Ngọc Lan,Aquifoliaceae Bùi ,Ngọc Lan Magnoliophyta,Thân gỗ,"Ven rừng, rừng trồng","Lá, búp.","Kích thích tiêu hoá, lợi tiểu, an thần, dùng lâu tăng sức khoẻ.",
51,Chè dây,Ampelopsis cantoniensis (Hook. et Arn) Planch.,Nho Vitales,Ngọc lan,Vitaceae Nho ,Ngọc Lan Magnoliophyta,Dây leo,"ven đường, ven rừng",Dây lá ,"giảm đau, làm liền sẹo, giảm viêm dạ dày. ",
52,Chè dung,Syplocos racemosa Roxb.,Đỗ quyên Ericales,Ngọc lan,Symplocaceae Dung ,Ngọc Lan Magnoliophyta,Thân gỗ,Rừng,Cả cây,"Tiêu cơm, chữa đau bụng, ỉa chảy ",
53,Chè vằng,Jasminum subtriplinerve Blume,Hoa môi  Lamiales,Ngọc lan,Oleaceaa Nhài  ,Ngọc Lan Magnoliophyta,Dây leo,"Trảng cỏ , ven rừng, rừng trồng","thân, lá "," phụ nữ sau khi sinh ,tắm cho trẻ con bị ghẻ lở",
54,Chó đẻ răng cưa hoa đỏ,Phyllanthus rubriflorus Beille,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân thảo,"Vườn nhà, rưừng",Cả cây,trị bệnh ghẻ. ,
55,Chó đẻ răng cưa hoa trắng,Phyllanthus urinaria L.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân thảo,"Trảng cỏ , ven rừng, rừng trồng","Thân, lá","Lợi tiểu, chữa phù thũng. mụn nhọt, viêm gan virut B",
56,Chua me đất hoa vàng,Oxalis corniculata L.,Chua me đất Oxalidales,Ngọc Lan,Oxalidaceae Chua me đất  ,Ngọc Lan Magnoliophyta,Thân thảo,"Vườn nhà , đồng ruộng, rừng trồng",Cả cây,"Giải nhiệt, lợi tiểu, chữa lỵ",
57,Chua me hoa đỏ,Oxalis corymbosa DC.,Chua me đất Oxalidales,Ngọc Lan,Oxalidaceae Chua me đất  ,Ngọc Lan Magnoliophyta,Thân thảo,vườn nhà,Cả cây,toàn cây sắc uống có tác dụng giải nhiệt và trị kiết lỵ ,
58,Chua ngút,Embelia ribes Burm f. ,Anh thảo Primunales,Ngọc Lan,Myrsinaceae Đơm nem ,Ngọc Lan Magnoliophyta,thân bụi leo,rừng,"Quả, rễ, lá ","Trị giun sán, đau ngực, bệnh da",
59,Chuối Rừng,Musa acuminata Colla,Chuối Musales,Hành,Musaceae Chuối ,Ngọc Lan Magnoliophyta,Thân thảo,Rừng,"Rễ, vỏ quả, lõi thân ","an thai; vỏ quả dùng chữa ỉa chảy, cầm máu.",
60,Cỏ gấu,Cyperus rotundus L.,Cói Cyperales,Hành,Cyperaceae Cói ,Ngọc Lan Magnoliophyta,Thân thảo,"ven rừng, vườn nhà","Thân, rễ","viêm tử cung, bệnh phụ nữ, nôn mửa, dạ dày",
61,Cỏ hôi,Ageratum conyzoides L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, rừng trồng, trảng cỏ","Thân, lá",Chữa viêm xoang mũi dị ứng:,
62,Cỏ lá tre,Lophatherum gracile Brongn.,Lúa Poales,Hành,Poaceae Lúa  ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, rừng trồng, ven suối",Cả cây,"Sốt cao, co giật, viêm miệng, đau mồm, sưng tuyến nước bọt, viêm đường tiết niệu, đái ra máu.",
63,Cỏ Lào,Eupatorium odoratum L. ,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng, rừng trồng","Lá, rễ.","Trị tiêu chảy, kiết lỵ, đau nhức xương. Chữa ho, cảm lạnh. chữa mụn nhọt, cầm máu, chữa bỏng ",
64,Cỏ mần trầu,Eleusine indica Gaertn.,Lúa Poales,Hành,Poaceae Lúa  ,Ngọc Lan Magnoliophyta,Thân thảo,Ven đường,Cả cây,"Chữa sốt, ra mồ hôi, làm mát gan.",
65,Cỏ may,Chrysopogon aciculatus (Retz.) Trin. ,Lúa Poales,Hành,Poaceae Lúa  ,Ngọc Lan Magnoliophyta,Thân thảo,"ven đường, đồi núi",Cả cây,"chữa da vàng, mắt vàng và trị giun. ",
66,Cỏ Roi Ngựa,Verbena officinalis L.,Hoa môi Lamiales,Ngọc Lan,Verbenaceae Cỏ roi ngựa  ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, rừng trồng,",Cả cây,"Sốt rét, giun chỉ, cảm lạnh và sốt, viêm họng, ho gà, viêm dạ dày ruột cấp, lỵ amíp, viêm gan, thận,",
67,Cỏ Seo Gà,Pteris multifida Poir.,Dương xỉ Polypodiales,Dương xỉ,Pteridaccae Cỏ seo gà ,Dương xỉ Polypodiophyta,Thân thảo,"rừng, vườn nhà","rễ, lá","Kiết lỵ, viêm ruột, viêm đường tiết niệu, sốt, ngứa lở và bệnh ngoài da. ",
68,Cỏ sữa lá lớn,Euphorbia piluliferaL. ,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, ven rừng, ven suối",Cả cây,"Trị tiêu chảy, viêm ruột, bệnh ngoài da",
69,Cỏ sữa lá nhỏ,Euphorbia thymifolia Burm.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, rừng trồng",Cả cây,"Trị rắn cắn, lỵ, vết thương",
70,Cỏ tranh,Imperata cylindrica Beauv.,Lúa Poales,Hành,Poaceae Lúa  ,Ngọc Lan Magnoliophyta,Thân thảo,đất trống,Thân rễ,"Chữa tiểu ít, tiểu ra máu, giải nhiệt, chữa sốt, sốt vàng da",
71,Cỏ xước,Achyranthes aspera L.,Cẩm chướng Caryophyllales,Ngọc Lan,Amaranthaceae Rau dền ,Ngọc Lan Magnoliophyta,Thân thảo,"Vườn nhà, ven đường, đất trống","rễ,  hoa","Chữa viêm khớp, đau nhức xương, cao huyết áp, kinh nguyệt không đều",
72,Củ dòm,Stephania dielsiana C. Y. Yu.,Mao lương Ranunculales,ngọc lan,Menispermaceae Tiết dê ,Ngọc Lan Magnoliophyta,dây leo,"ven rừng, đồi núi",Rễ,"an thần, gây ngủ; thanh nhiệt, giải độc, tiêu phù, giảm đau.",
73,Củ năn,Heleocharis plantaginea R. Br.,Cói Cyperales,Hành,Cyperaceae Cói ,Ngọc Lan Magnoliophyta,Thân thảo,"đồng ruộng, vườn nhà, ",củ,"chữa bệnh tiêu khát, bệnh về gan",
74,Cúc  vàng,Chrysanthemum indicum L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, rừng trồng, ven suối",Cụm hoa ,"Chữa cảm sốt, đau đầu , mờ mắt",
75,Cúc chỉ thiên ( chân voi),Elephantopus scaber L.,Cúc Asterales,ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân bụi,"rừng trồng , ven rừng",Cả cây,"Giảm sốt, giải độc, chữa mụn nhọt",
76,Cúc Sữa,Sonchus oleraceus L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng, rừng trồng, ven suối",Cả cây,"Viêm ruột, lỵ,xơ gan, ruột thừa, viêm vú, viêm miệng sưng amygdal, nôn ra máu từ dạ dày, chảy máu cam, ho ra máu, xuất huyết tử cung.  ",
77,Cúc Tần,Pluchea indica Less.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"Ven rừng, rừng trồng, ven suối","Rễ, lá, cành.","Chữa cảm sốt không ra mồ hôi, nhức đầu, thấp khớp, đau lưng, nhức xương.",
78,Cuống Vàng,Gonocaryum lobbianum (Miers.) Kurz,Dây gối Celastrales,Ngọc lan,Icacinaceae Mộc thông ,Ngọc Lan Magnoliophyta,Thân gỗ,"rừng, rừng trồng, ven suối",Rễ,"thanh nhiệt, giải độc",
79,Cứt chuột,Berchemia lineata (L.) DC.,Táo ta - Rhamnales,Ngọc lan,Rhamnaceae Táo ta  ,Ngọc Lan Magnoliophyta,Thân bụi,"Ven rừng, rừng trồng, ven suối",Rễ,"lao phổi, viêm khí quản cấp,chảy máu cam viêm gan, đau nhức, viêm mủ da, rắn độc cắn",
80,Đa đa,Harrisonia perforata (Blanco) Merr,Cam Rutales,Ngọc Lan,Simaroubaceae Thanh thất ,Ngọc Lan Magnoliophyta,Thân bụi,"vườn nhà, rưng trồng, rừng","Rễ, vỏ thân, cành lá và quả ","chữa ỉa chảy, kiết lỵ, sốt rét, chữa đau nhức xương và điều kinh. ",
81,Đại,Plumeria rubra L. var. acutifolia (Poir.) Bailey,Long đởm Gentianales,Ngọc Lan,Apocynaceae Trúc đào ,Ngọc Lan Magnoliophyta,Thân gỗ,vườn,"vỏ, hoa, lá, nhựa","viêm ruột, lỵ, khó tiêu, gan, viêm răng",
82,Đại Bi,Blumea balsamifera (L.) D C.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân gỗ,"rừng, ven đường","Lá, tinh dầu","Chữa cảm sốt, ho, đầy bụng khó tiêu.",
83,Dâm bụt,Hibiscus rosa-sinensis L.,Bông Malvales,Ngọc lan,Malvaceae Bông ,Ngọc Lan Magnoliophyta,Thân gỗ,"vườn nhà, ven đường","Lá, hoa, vỏ rễ.","Chữa mụn nhọt, lỵ, kinh nguyệt không đều",
84,Đậu chiều,Cajanus indicus Spreng.,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,thân bụi,"vườn, đồi núi","Rễ, hạt và lá ","chữa sốt, giải độc, chữa ho, cảm, nhức mỏi gân cốt, ngộ độc thuốc trừ sâu, bệnh ngoài da, lỵ, mụn nhọt",
85,Dầu lai,Jatropha multifidaL.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân thảo,rừng,Nhựa mủ,trị lở miệng,
86,Đậu muồng ăn,"Vigna mungo (L.) Hepper,",Đậu Fabales,Ngọc Lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,thân thảo,vườn,"hạt, quả","sốt, tăng thị lực mắt",
87,Dâu rượu ,Myrica rubra Sieb et Zucc.,Dẻ - Fagales,Ngọc Lan,Myricaceae Dâu rượu  ,Ngọc Lan Magnoliophyta,Thân gỗ," Rừng, ven suối","quả, vỏ","Chữa rối loạn tiêu hoá, ỉa chảy và lỵ, chứng ra mồ hôi chân, bệnh về da.",
88,Dây máu chó,Callerya reticulata (Benth.) Schot,Đậu Fabales,Ngọc lan,Fabaceae Ðậu  ,Ngọc Lan Magnoliophyta,Thân gỗ,"rừng, dọc sông",Thân dây và rễ ,"trị thiếu máu, kinh nguyệt không đều, di tinh, phong thấp đau gân cốt và đau dạ dày.",
89,Dây ông lão,Clematis smilacifolia Wall,Mao lương Ranunculales,Ngọc lan,Ranunculaceae Hoàng liên. ,Ngọc Lan Magnoliophyta,Dây leo,ven suối,Rễ và thân ,"chữa dđau, nhức mỏi",
90,Dây rơm,Tetrastigma erubescens Planch,Nho Vitales,Ngọc Lan,Vitaceae Nho ,Ngọc Lan Magnoliophyta,dây leo,đồi núi,Dây lá ,"sốt, bổ gân cốt, dạ dày",
143,Dây sâm,Cyclea barbata Miers (C. peltata Hook. et Thw.),,,Menispermaceae Tiết dê ,Ngọc Lan Magnoliophyta,Dây leo,Rứng,Rễ,"Trị đái dắt, ỉa chảy, các bệnh về gan",
91,Diệp hạ châu đắng,Phyllanthus amarus Schum et Thonn.,Thầu dầu Euphorbiales,Ngọc lan,Euphorbiaceae Thầu dầu -  ,Ngọc Lan Magnoliophyta,Thân thảo,"đồng ruộng, vườn nhà, rừng trồng",cả cây,"thông tiểu, thông sữa, điều kinh sửa huyết, mụn nhọt lở ngứa ngoài da, rắn rết cắn",
92,Điều nhuộm,Bixa orellana L.,ĐIều nhuộm Bixales ,Ngọc lan,Bixacae ĐIều nhuộm ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,Hạt và lá ,"Haạ nhiệt, lỵ, tẩy giun",
93,Đinh lăng,Polyscias fruticosa (L.) Harms ,Hoa tán Apiales,Ngọc Lan,Araliaceae Nhân sâm ,Ngọc Lan Magnoliophyta,Thân gỗ,Vườn nhà,Cả cây,"làm thuốc bổ, trị suy nhược cơ thể, tiêu hoá kém, phụ nữ sau khi đẻ ít sữa, sản hậu huyết xông nhức mỏi. Còn dùng làm thuốc chữa ho, ho ra máu, thông tiểu tiện, chữa kiết lỵ. Thân và cành dùng chữa phong thấp, đau lưng. Lá dùng chữa cảm sốt, mụn nhọt sưng tấy, sưng vú",
94,Đỗ trọng tía,Euonymus Chinensis L.,Long đởm Gentianales,Ngọc Lan,Celastraceae Chân danh ,Ngọc Lan Magnoliophyta,Thân bụi,Rừng,Thân,"Thuốc bổ, chữa suy nhược cơ thể, mạnh gân xương, chữa tiểu đường, di tinh, giúp tiêu hoá.",
95,Đơn buốt,Bidens pilosa L.,Cúc Asterales ,Ngọc lan,Asteraceae Cúc ,Ngọc Lan Magnoliophyta,Thân thảo,"vườn nhà, rừng trồng, rừng",Cả cây,đau mắt. Một số nơi dùng hoa ngâm rượu ngậm trong trường hợp bị Đau răng.,
